#english;transcription;russian
test;test;проверка, испытание, тест
make;meɪk;делать, конструировать, создавать, изготавливать
cross out;krɔs aut;вычёркивать (слова, строчки в тексте), стирать, удалять
fill out;fɪl aut;заполнять (анкету)
hand in;hænd ɪn;подавать, возвращать
hang up;hæŋ ʌp;вешать(картину/трубку)
hook up;huk ʌp;подключать (провода/комп)
pick out;pɪk aut;выбирать, выбрать
put away;put ə'weɪ;убирать на место
put on;put ɔn;надевать
take down;teɪk daun;снимать (что-то, картину со стены), сносить, разрушать
take off;teɪk ɔf;снимать (с себя ботинки), сбрасывать
throw away;θrəu ə'weɪ;выбрасывать (мусор), упускать
try on;traɪ ɔn;примерять, примерить
turn on;tɜːn ɔn;включать, включить
turn off;tɜːn ɔf;выключать, выключить
wake up;weɪk ʌp;просыпаться, разбудить кого-либо, пробудиться
